Student_ID,Hours_Reading_Per_Week,Primary_Reading_Material,Secondary_Reading_Material,Reading_Enjoyment,Math_Exam_Pass,English_Exam_Pass,Science_Exam_Pass,History_Exam_Pass,Overall_GPA,Study_Hours_Per_Week,Age,Gender
001,8,Fiction,Online Articles,Yes,1,1,1,1,3.8,12,16,Female
002,2,Textbooks,Social Media,No,0,0,1,0,2.1,5,15,Male
003,10,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.9,14,17,Female
004,1,Social Media,Comics,No,0,0,0,0,1.8,2,15,Male
005,6,Fiction,Magazines,Yes,1,1,0,1,3.5,10,16,Male
006,3,Textbooks,Online Articles,No,0,1,0,1,2.4,7,15,Female
007,12,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.95,16,17,Male
008,2,Comics,Social Media,No,0,0,0,1,2.0,4,15,Female
009,7,Fiction,Textbooks,Yes,1,0,1,1,3.6,11,16,Female
010,4,Magazines,Online Articles,No,1,0,1,0,2.5,6,15,Male
011,9,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.85,13,17,Female
012,1,Social Media,Comics,No,0,0,0,0,1.9,3,15,Male
013,5,Fiction,Magazines,Yes,1,1,0,1,3.3,9,16,Male
014,3,Textbooks,Online Articles,No,0,1,0,1,2.3,6,15,Female
015,11,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.92,15,17,Male
016,2,Comics,Social Media,No,0,0,0,0,2.0,4,15,Female
017,6,Fiction,Textbooks,Yes,1,0,1,1,3.4,10,16,Female
018,4,Magazines,Online Articles,No,1,1,1,0,2.6,8,15,Male
019,8,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.75,12,17,Female
020,3,Textbooks,Social Media,No,0,0,1,0,2.2,5,15,Male
021,7,Fiction,Online Articles,Yes,1,1,0,1,3.5,11,16,Male
022,2,Social Media,Comics,No,0,0,0,0,1.7,3,15,Female
023,10,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.88,14,17,Female
024,1,Comics,Social Media,No,0,0,0,0,1.8,2,15,Male
025,5,Fiction,Magazines,Yes,1,0,1,1,3.4,9,16,Female
026,4,Textbooks,Online Articles,No,0,1,0,1,2.5,7,15,Male
027,9,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.82,13,17,Male
028,2,Social Media,Comics,No,0,0,0,0,1.9,4,15,Female
029,6,Fiction,Textbooks,Yes,1,1,0,1,3.6,10,16,Male
030,3,Magazines,Online Articles,No,1,0,1,0,2.3,6,15,Female
031,11,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.9,15,17,Female
032,1,Comics,Social Media,No,0,0,0,0,1.8,3,15,Male
033,7,Fiction,Online Articles,Yes,1,1,0,1,3.55,11,16,Female
034,4,Textbooks,Social Media,No,0,1,0,0,2.4,6,15,Male
035,8,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.78,12,17,Female
036,2,Social Media,Comics,No,0,0,0,0,1.7,3,15,Female
037,6,Fiction,Magazines,Yes,1,0,1,1,3.5,10,16,Male
038,3,Magazines,Online Articles,No,0,0,1,0,2.2,5,15,Male
039,10,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.87,14,17,Male
040,1,Comics,Social Media,No,0,0,0,0,1.9,2,15,Female
041,5,Fiction,Textbooks,Yes,1,1,0,1,3.45,9,16,Female
042,4,Textbooks,Online Articles,No,1,1,0,1,2.6,8,15,Male
043,9,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.8,13,17,Female
044,2,Social Media,Comics,No,0,0,0,0,1.8,4,15,Male
045,7,Fiction,Online Articles,Yes,1,1,1,1,3.65,11,16,Male
046,3,Magazines,Online Articles,No,0,0,0,0,2.1,5,15,Female
047,11,Non-Fiction,Academic Papers,Yes,1,1,1,1,3.91,15,17,Male
048,1,Comics,Social Media,No,0,0,0,0,1.7,2,15,Female
049,6,Fiction,Magazines,Yes,1,0,1,1,3.55,10,16,Female
050,4,Textbooks,Social Media,No,1,0,1,0,2.5,7,15,Male
